Country,Cases,year,month,day,quarter,date,year_month
Brunei,0.0,2020,9,14,3,2020-09-14 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,15,3,2020-09-15 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,16,3,2020-09-16 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,17,3,2020-09-17 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,18,3,2020-09-18 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,19,3,2020-09-19 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,20,3,2020-09-20 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,21,3,2020-09-21 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,22,3,2020-09-22 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,23,3,2020-09-23 00:00:00+00:00,2020-09
Brunei,1.0,2020,9,24,3,2020-09-24 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,25,3,2020-09-25 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,26,3,2020-09-26 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,27,3,2020-09-27 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,28,3,2020-09-28 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,29,3,2020-09-29 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,30,3,2020-09-30 00:00:00+00:00,2020-09
Brunei,0.0,2020,10,1,4,2020-10-01 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,2,4,2020-10-02 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,3,4,2020-10-03 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,4,4,2020-10-04 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,5,4,2020-10-05 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,6,4,2020-10-06 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,7,4,2020-10-07 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,8,4,2020-10-08 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,9,4,2020-10-09 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,10,4,2020-10-10 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,11,4,2020-10-11 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,12,4,2020-10-12 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,13,4,2020-10-13 00:00:00+00:00,2020-10
Brunei,1.0,2020,10,14,4,2020-10-14 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,15,4,2020-10-15 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,16,4,2020-10-16 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,17,4,2020-10-17 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,18,4,2020-10-18 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,19,4,2020-10-19 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,20,4,2020-10-20 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,21,4,2020-10-21 00:00:00+00:00,2020-10
Brunei,1.0,2020,10,22,4,2020-10-22 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,23,4,2020-10-23 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,24,4,2020-10-24 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,25,4,2020-10-25 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,26,4,2020-10-26 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,27,4,2020-10-27 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,28,4,2020-10-28 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,29,4,2020-10-29 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,30,4,2020-10-30 00:00:00+00:00,2020-10
Brunei,0.0,2020,10,31,4,2020-10-31 00:00:00+00:00,2020-10
Brunei,0.0,2020,11,1,4,2020-11-01 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,2,4,2020-11-02 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,3,4,2020-11-03 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,4,4,2020-11-04 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,5,4,2020-11-05 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,6,4,2020-11-06 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,7,4,2020-11-07 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,8,4,2020-11-08 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,9,4,2020-11-09 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,10,4,2020-11-10 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,11,4,2020-11-11 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,12,4,2020-11-12 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,13,4,2020-11-13 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,14,4,2020-11-14 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,15,4,2020-11-15 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,16,4,2020-11-16 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,17,4,2020-11-17 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,18,4,2020-11-18 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,19,4,2020-11-19 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,20,4,2020-11-20 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,21,4,2020-11-21 00:00:00+00:00,2020-11
Brunei,0.0,2020,11,22,4,2020-11-22 00:00:00+00:00,2020-11
Brunei,1.0,2020,11,23,4,2020-11-23 00:00:00+00:00,2020-11
